[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:00
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 4, Distance: 52, Angle: 319, SNR: 0, Speed: -73
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 4, Distance: 133, Angle: -1544, SNR: 0, Speed: -104
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 3, Distance: 160, Angle: -3042, SNR: 0, Speed: 78
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 2, Distance: 166, Angle: 2118, SNR: 0, Speed: -1
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 4, Distance: 322, Angle: -3601, SNR: 0, Speed: 71
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 2, Distance: 492, Angle: -1651, SNR: 0, Speed: 94
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 4, Distance: 502, Angle: -264, SNR: 0, Speed: -77
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 2, Distance: 551, Angle: 388, SNR: 0, Speed: 96
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 4, Distance: 569, Angle: -967, SNR: 0, Speed: -84
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 5, Distance: 731, Angle: -4110, SNR: 0, Speed: 71
[2017-03-28 15:40:00.105] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 3, Distance: 772, Angle: -4780, SNR: 0, Speed: 68
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:00
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 2, Distance: 34, Angle: -14515, SNR: 0, Speed: -95
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 4, Distance: 56, Angle: -76, SNR: 0, Speed: -73
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 3, Distance: 137, Angle: -2181, SNR: 0, Speed: -104
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 2, Distance: 156, Angle: -3440, SNR: 0, Speed: 78
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 4, Distance: 324, Angle: -3690, SNR: 0, Speed: 71
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 2, Distance: 423, Angle: -1702, SNR: 0, Speed: -97
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 3, Distance: 486, Angle: -2371, SNR: 0, Speed: 95
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 4, Distance: 506, Angle: -1064, SNR: 0, Speed: -77
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 3, Distance: 571, Angle: -1429, SNR: 0, Speed: -84
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 3, Distance: 729, Angle: -4216, SNR: 0, Speed: 71
[2017-03-28 15:40:00.197] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 2, Distance: 768, Angle: -5039, SNR: 0, Speed: 68
[2017-03-28 15:40:00.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:00
[2017-03-28 15:40:00.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 2, Distance: 38, Angle: -10401, SNR: 0, Speed: -95
[2017-03-28 15:40:00.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 5, Distance: 56, Angle: 238, SNR: 0, Speed: -73
[2017-03-28 15:40:00.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 2, Distance: 141, Angle: -1034, SNR: 0, Speed: -104
[2017-03-28 15:40:00.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 2, Distance: 158, Angle: -2286, SNR: 0, Speed: 78
